label;x_size;y_size;z_size;centroid;num_points
101;657.0;1607.0;242.0;[-43964624.5, -124466722.5, 25247.0];39
102;590.0;1426.0;252.0;[-43964642.0, -124466834.0, 25248.0];18
103;514.0;1237.0;246.0;[-43964642.0, -124466904.5, 25233.0];13
104;33096.0;18775.0;769.0;[-43981282.0, -124458414.5, 25392.5];67
105;1730.0;1592.0;574.0;[-43965606.0, -124467027.0, 25402.0];56
106;892.0;944.0;379.0;[-43965640.0, -124467254.0, 25383.5];12
107;88.0;152.0;494.0;[-43997855.0, -124449077.0, 25216.0];8
108;103.0;188.0;456.0;[-43997881.5, -124449018.0, 25267.0];9
109;873.0;453.0;288.0;[-43990948.5, -124459409.5, 25186.0];9
110;158.0;280.0;192.0;[-43991455.0, -124459574.0, 25048.0];15
111;261.0;1549.0;1149.0;[-43991660.5, -124460064.5, 25381.5];17
112;206.0;1702.0;1164.0;[-43991679.0, -124460060.0, 25355.0];10
113;264.0;1657.0;1080.0;[-43991691.0, -124460045.5, 25342.0];8
114;290.0;1701.0;1069.0;[-43991666.0, -124460064.5, 25311.5];11
115;644.0;715.0;385.0;[-43992090.0, -124460522.5, 24997.5];8
116;608.0;627.0;334.0;[-43992116.0, -124460476.5, 25025.0];8
117;109.0;223.0;311.0;[-43993341.5, -124458621.5, 25242.5];10
118;803.0;835.0;335.0;[-43993728.5, -124458322.5, 25317.5];21
119;738.0;687.0;349.0;[-43993752.0, -124458329.5, 25313.5];9
120;16696.0;3678.0;817.0;[-43985939.0, -124459728.0, 25327.5];81
121;16817.0;3172.0;652.0;[-43985893.5, -124459479.0, 25347.0];50
122;442.0;1330.0;620.0;[-43978279.0, -124460933.0, 25271.0];18
123;611.0;358.0;128.0;[-43978795.5, -124460468.0, 25004.0];12
124;628.0;205.0;128.0;[-43978873.0, -124460499.5, 25031.0];18
125;391.0;282.0;152.0;[-43979000.5, -124460476.0, 25012.0];14
126;192.0;388.0;124.0;[-43979255.0, -124460560.0, 24992.0];29
127;15985.0;7523.0;161.0;[-43987345.5, -124456975.5, 24958.5];24
128;7842.0;13854.0;112.0;[-43991478.0, -124460201.0, 24933.0];9
129;653.0;691.0;220.0;[-43987997.5, -124466788.5, 24982.0];30
132;107.0;285.0;346.0;[-43992258.5, -124456631.5, 25432.0];8
134;1071.0;2909.0;938.0;[-43991899.5, -124458155.5, 25594.0];28
135;125.0;294.0;659.0;[-43991968.5, -124460468.0, 25147.5];11
136;98.0;279.0;762.0;[-43991999.0, -124460464.5, 25176.0];10
137;161.0;394.0;897.0;[-43991995.5, -124460420.0, 25257.5];17
139;135.0;608.0;403.0;[-43993055.5, -124458696.0, 25423.5];12
141;202.0;483.0;798.0;[-43994547.0, -124458138.5, 25480.0];30
142;4959.0;3004.0;781.0;[-43992390.5, -124456805.0, 25475.5];55
143;131.0;394.0;501.0;[-43994638.5, -124458091.0, 25516.5];11
147;160.0;246.0;582.0;[-43991404.0, -124456043.0, 25623.0];22
148;152.0;366.0;599.0;[-43991417.0, -124456126.0, 25605.5];17
149;4791.0;5640.0;881.0;[-43993882.5, -124453294.0, 25290.5];11
150;4873.0;5766.0;970.0;[-43993897.5, -124453319.0, 25330.0];17
151;4802.0;5700.0;976.0;[-43993897.0, -124453254.0, 25349.0];14
152;193.0;302.0;402.0;[-43996385.5, -124450566.0, 25112.0];15
153;17694.0;10141.0;444.0;[-43987705.0, -124455683.5, 25120.0];87
154;152.0;100.0;161.0;[-43995323.0, -124453264.0, 24958.5];9
155;523.0;565.0;150.0;[-43988633.5, -124465661.5, 24879.0];10
156;172.0;422.0;130.0;[-43989002.0, -124465427.0, 24927.0];17
157;4192.0;6933.0;355.0;[-43987049.0, -124462185.5, 24997.5];39
158;9987.0;18457.0;799.0;[-43993325.5, -124457504.5, 25155.5];96
159;6783.0;8632.0;1174.0;[-43995002.5, -124452545.0, 25314.0];135
160;1266.0;4084.0;1230.0;[-43991859.0, -124458560.0, 25533.0];116
161;1139.0;2156.0;1081.0;[-43992514.5, -124459541.0, 25381.5];143
162;5104.0;3250.0;892.0;[-43992017.0, -124459579.0, 25479.0];111
163;8855.0;1077.0;397.0;[-43979420.5, -124460690.5, 25062.5];12
164;539.0;1018.0;626.0;[-43990089.5, -124455418.0, 25702.0];137
165;4940.0;5720.0;1257.0;[-43992758.0, -124453307.0, 25459.5];135
166;4456.0;6009.0;1187.0;[-43993381.0, -124453196.5, 25360.5];132
167;481.0;536.0;522.0;[-43995368.5, -124450460.0, 25028.0];102
168;31210.0;12274.0;946.0;[-43977094.0, -124461266.0, 25494.0];105
169;317.0;3018.0;642.0;[-43986753.5, -124466016.0, 25177.0];19
170;899.0;1653.0;686.0;[-43987289.5, -124465280.5, 25214.0];12
171;1314.0;532.0;523.0;[-43987524.0, -124464768.0, 25180.5];7
-1;16480.0;20497.0;875.0;[-43991347.0, -124457260.5, 25220.5];53
